english,norwegian,eng_length,nor_length,length_ratio
Summary for AllClimate Change 2021: WORKING GROUP I TECHNICAL SUPPORT UNIT This document has not been subject to formal IPCC review processes. Version 3 - 12 December 2022 • Climate Change 2021: Summary for All •3 /,SammendragKlimaendringer 2021: for alle WORKING GROUP I TECHNICAL SUPPORT UNIT Dette dokumentet har ikke vært gjennom IPCCs formelle godkjenningsprosess. • Klimaendringer 2021: Sammendrag for alle •3 /,215,201,0.9348837209302325
"Weather, Climate and the IPCC No matter where we live, we all experience weather: how the conditions of our atmosphere change over minutes, hours, days, weeks. We also all experience climate: the weather of a place averaged over several decades. Climate change is when these averaged conditions start to change and its causes can be either natural or caused by human activities. Rising temperatures, variations in rainfall, increased extreme weather events are all examples of climate changes, but there are many others. Back in 1990, the first report by the Intergovernmental Panel on Climate Change (IPCC) concluded that human-caused climate change would soon become apparent but could not yet confirm that it was already happening. Now, some 30 years later, the evidence is overwhelming that human activities have changed the climate. Hundreds of scientists from all over the world come together to produce IPCC reports. They base their conclusions on several kinds of scientific evidence, including: • Measurements or observations, sometimes spanning more than a century back in time; • Paleo (very old) climate evidence from thousands or millions of years ago (for example: tree rings, rock or ice cores); • Computer models that look at past, current and future changes (see box What are climate models? on page 9 ); • Understanding of how the climate works (physical, chemical and biological processes). Since the IPCC first started, we now have much more data and better climate models. We understand more now about how the atmosphere interacts with the ocean, ice, snow, ecosystems and land of the Earth. Computer climate simulations have considerably improved and now provide past change and future projections that are much more detailed. Plus, we have now had decades more greenhouse gas emissions, making the effects of climate change more apparent (see box What are greenhouse gases? on page 6). As a result, the latest IPCC report is able to confirm and strengthen the conclusions from previous reports. What’s covered in this summary? • Climate Change Today: what changes have already occurred and how we know humans are responsible; • Our Future Climate: what changes could happen in the future depending on the actions we take; • Limiting Future Climate Change: what is required to stop global temperature from continuing to rise. • Climate Change 2021: Summary for All •4 /Climate change today Global warming has already caused widespread, rapid and intensifying changes. Some changes are unprecedented in thousands or even millions of years Climate change is more than simply the world getting hotter; we are experiencing widespread changes across the atmosphere, land, ocean and ice regions. The list below and Graphic A give an overview of climate changes we are observing across the globe. Atmosphere • The average temperature of the Earth’s surface between 2011 and 2020 was 1.1ºC (2°F) warmer than the average temperature in the late 19th century (before the industrial revolution) and warmer than at any time in the last 100,000 years. • Each of the last four decades has been warmer than any previous decade since 1850. The world is warming faster than at any time in at least the last two thousand years. • The levels of greenhouse gases in the air are continuing to rise because of our emissions. Carbon dioxide concentrations are at their highest in at least the last 2 million years. Methane and nitrous oxide concentrations are at their highest in at least 800,000 years (see box What are greenhouse gases? on page 6 ). Land • Rainfall over the land has increased since the 1950s. In the tropical regions, it is raining more during wet seasons and raining less during dry seasons. • Many plant species and animal species have moved closer to the poles and to higher elevations, to follow the shifts in climate zones. • For some Northern Hemisphere plant species, the growing season has become longer (up to 14 days longer since the 1950s) and, overall, the surface of the land has become greener since the early 1980s. Ice • Many of the frozen parts of the Earth are rapidly melting or thawing (defrosting). Overall, snowfall is decreasing. The widespread retreat of glaciers since 1950 has not been seen in at least 2000 years. • The area of the Arctic Ocean covered by sea ice in the summer is now 40% smaller than in the 1980s. It is the smallest it has been for at least one thousand years. • Snow cover in the Northern Hemisphere has decreased since the late 1970s, and some of the ground areas usually frozen all year round have warmed and thawed (defrosted).","Vær, Klima og IPCC Uansett hvor vi bor, opplever vi alle vær: Hvordan forholdene i atmosfæren endrer seg i løpet av minutter, timer, dager, uker. Vi opplever også klimaet: Det gjennomsnittlige været over flere tiår. Klimaendringer er når disse gjennomsnittlige forholdene begynner å endre seg, og årsakene til det kan være enten naturlige variasjoner eller menneskelig aktivitet. Økende temperaturer, variasjoner i nedbør og økt ekstremvær er alle eksempler på klimaendringer, men det finnes også mange andre. Allerede i 1990 konkluderte den første rapporten fra Intergovernmental Panel on Climate Change (IPCC) at menneskeskapte klimaendringer snart ville bli tydelige, men kunne ennå ikke bekrefte at de allerede fant sted. Nå, 30 år senere, har vi bunnsolid dokumentasjon på at menneskelig aktivitet har endret klimaet. Hundrevis av forskere fra hele verden kommer sammen for å skrive IPCC-rapportene. De har vitenskapelig belegg for konklusjonene sine, som inkluderer: • Målinger og observasjoner, som noen ganger strekker seg mer enn ett århundre tilbake i tid; • Paleodata, som er informasjon om klimaforholdene fra tusenvis eller millioner av år tilbake (for eksempel årringer, stein eller iskjerner); • Datamodeller som ser på tidligere, nåværende og fremtidige endringer (se boksen Hva er klimamodeller? på side 9) • Forståelse av hvordan klimaet fungerer (fysiske, kjemiske og biologiske prosesser). Vi har mye bedre data og klimamodeller i dag enn da IPCC startet sitt arbeid. Vi forstår mer i dag om hvordan atmosfæren spiller sammen med hav, is, snø, økosystemer og jorda. Datasimuleringer om klima har blitt betraktelig forbedret og kan si noe om endringer i fortiden og fremtidige framskrivninger mer detaljert. I tillegg har vi nå hatt flere tiår mer klimagassutslipp, noe som gjør effektene av klimaendringer tydeligere (se boksen Hva er klimagasser? på side 6). Som et resultat kan den siste IPCC-rapporten bekrefte og styrke konklusjonene fra tidligere rapporter. Hva dekkes i dette sammendraget? • Klimaendringer i dag: Hvilke endinger har allerede skjedd og hvordan vet vi at mennesker er ansvarlig for dem; • Vårt fremtidige klima: Hvilke endringer kan inntreffe i fremtiden avhengig av valgene vi tar; • Redusere fremtidige klimaendringer: Hva trengs for å hindre den globale temperaturen fra å fortsette å stige. • Klimaendringer 2021: Sammendrag for alle •4 /Klimaendringer i dag Global oppvarming har allerede forårsaket utbredte, raske og intense endringer. Noen av disse er uten sidestykke i de siste tusener eller til og med millioner av år Klimaendringer innebærer mer enn at verden blir varmere; vi opplever utbredte endringer i atmosfæren, på land, i hav og i områder med is og snø. Listen under og Grafikk A gir en oversikt over klimaendringer vi ser rundt om på kloden. Atmosfære • Gjennomsnittstemperaturen ved jordens overflate i perioden 2011 til 2020 var 1,1ºC varmere enn gjennomsnittstemperaturen på slutten av 1800-tallet (før den industrielle revolusjon) og varmere enn vi har opplevd de siste 100 000 årene. • Hvert av de siste fire tiårene har vært varmere enn noe tidligere tiår siden 1850. Verden varmes i dag raskere enn noen gang i løpet av de siste to tusen årene. • Nivåene av klimagasser i luften fortsetter å stige på grunn av våre utslipp. CO 2-konsentrasjonene er på sitt høyeste på minst to millioner år. Konsentrasjonene av metan og lystgass er på det høyeste på minst 800 000 år (se boksen Hva er klimagasser? på side 6). Land • Nedbøren over land har økt siden 1950-tallet. I de tropiske områdene regner det mer enn før i våte årstider og mindre i tørre årstider. • Mange plantearter og dyrearter har flyttet seg nærmere polene og til høyere områder, for å følge endringene i klimasoner. • For noen plantearter på den nordlige halvkule har vekstsesongen blitt lengre (opptil 14 dager lengre siden 1950-tallet), og totalt sett har overflaten av landarealene blitt grønnere siden tidlig på 1980-tallet. Is • Mange av de frosne delene av jorden smelter eller tiner raskt. Totalt sett avtar snøfallet. Den utbredte tilbaketrekningen av isbreer vi har sett siden 1950 har vi ikke opplevd på minst 2000 år. • Arealet av Polhavet som er dekket av havis om sommeren er nå 40 prosent mindre enn på 1980-tallet. Dette er det laveste på minst tusen år. • Snødekket på den nordlige halvkule har avtatt siden slutten av 1970-tallet, og noen av de landarealene som vanligvis er frosset hele året har blitt varmet opp og tint.",4596,4469,0.97236727589208
"If you would like to learn more about climate change, then you can read the report’s Frequently Asked Questions here: https://www.ipcc.ch/report/ar6/wg1/ resources/frequently-asked-questions/ • Climate Change 2021: Summary for All •5 /• The Greenland and Antarctic ice sheets are shrinking, as are the vast majority of glaciers worldwide, adding huge quantities of water to the oceans. Ocean • 90% of the extra heat associated with global warming has been taken up by the ocean (see box What are greenhouse gases? on page 6). The ocean is now warming faster than at any time in at least 11,000 years. • Sea level has risen globally by about 20 centimetres (approximately 8 inches) since 1900. It is rising faster than at any point in at least 3000 years, and this speed is accelerating. • By absorbing carbon dioxide from the atmosphere, the ocean is becoming more acidic. The surface water of the ocean is now unusually acidic compared with the last 2 million years.","Hvis du vil lære mer om klimaendringene, kan du lese rapportens “Ofte stilte spørsmål” her: https://www.ipcc.ch/report/ar6/wg1/ resources/frequently-asked-questions/ • Klimaendringer 2021: Sammendrag for alle •5 /• Grønlands- og Antarktis-isen krymper, i likhet med de aller fleste isbreer over hele verden, og tilfører havet enorme mengder vann. Hav • 90 prosent av den ekstra varmen knyttet til global oppvarming har blitt tatt opp av havet (se boksen Hva er klimagasser? på side 6). Havet varmes nå opp raskere enn noen gang de siste 11 000 år. • Havnivået globalt har steget med rundt 20 centimeter siden 1900. Det stiger raskere enn noen gang på minst 3000 år, og hastigheten øker. • Ved å absorbere karbondioksid fra atmosfæren blir havet surere. Overflatevannet i havet er nå uvanlig surt sammenlignet med de siste 2 millioner årene.",967,840,0.8686659772492245
"Graphic A • Global warming has triggered widespread changes across the entire climate system. The four main parts of the climate system – the air, the ocean, the land and the ice regions – are all experiencing widespread changes. Km = kilometres. Graphic adapted from IPCC AR6 Working Group I FAQ 2.2, Figure 1 in Chapter 2. https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-2/ Air temperature (in the lowest few km)Atmospheric circulation Water vapour Surface temperature Species range shiftsOcean heat contentSea level Sea surface temperature Species ranges shifts Ocean acidification Growing season lengthGlobal greenness PrecipitationGlaciersIce sheets Snow coverPermafrost extent Arctic sea iceWhat is the evidence for climate change? Taken together, observed changes in the climate system since the late 19th century reveal an unequivocally warming world AIR LANDOCEAN ICE • Climate Change 2021: Summary for All •6 /","Grafikk A • Global oppvarming har utløst massive endringer i hele klimasystemet. De fire hoveddelene av klimasystemet – luft, hav, land og is – opplever alle store endringer. Km=kilometer. Grafikken er utarbeidet med utgangspunkt i Fig. 1, IPCC AR6 WGI FAQ 2.2, i kapittel 2. https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-2/ Luft temperaturAtmosfærisk sirkulasjon Vanndamp Overflate temperatur Arter flytter på segHavets varmeinnholdHavnivå Temperatur ved havoverflaten Arter flytter på seg Havforsuring Forlenget vekstsesongGlobal grønn vegetasjon NedbørIsbreerIskapper SnødekkePermafrostens utbredelse Havis i ArktisKlimaendringene: Hva er bevisene? Observerte endringer i klimasystemet siden slutten av 1800-tallet tyder alle på at verden blir varmere. LUFT LANDHAV IS • Klimaendringer 2021: Sammendrag for alle •6 /",923,824,0.8927410617551462
"What are greenhouse gases? Some gases in our atmosphere – such as carbon dioxide, methane and nitrous oxide – act like an insulation blanket for the Earth. They warm the Earth by making it harder for heat to be released into outer space. Much like adding a blanket around your body heats you up and keeps you warm, or the walls of a greenhouse help keep the air inside warmer than its surroundings. This effect is called the greenhouse effect, and these heat-trapping gases are called greenhouse gases. The greenhouse effect is a natural process that makes the Earth liveable for humans: without the natural greenhouse effect, the global average temperature would be about 33ºC (59°F) colder. However, human activities since the 19th century have emitted more and more greenhouse gases into the atmosphere, mostly from burning fossil fuels (coal, oil and gas), but also from agriculture and cutting down forests. These actions have added to the greenhouse effect, causing global warming. The excess energy is taken up by different parts of the Earth (Graphic B): 91% is absorbed by the oceans, 5% is absorbed by the land, 3% is absorbed by the ice. Only 1% of the extra heat is absorbed by the atmosphere. This warming has caused changes in many aspects of climate. The Earth’ s energy budget and climate change Since at least 1970, there has been a persistent imbalance in the energy flows that has led to excess energy being absorbed by different components of the climate system. IceOceanLand 3%91%Outgoing energy Excess energy accumulatingLess outgoing energy due to greenhouse gasesIncoming solar energyIncoming solar energyStable climate: in balance Today: imbalanced Atmosphere 1% 5%","Hva er klimagasser? Noen gasser i atmosfæren – som karbondioksid, metan og lystgass – fungerer som et isolasjonsteppe for jorden. De varmer opp jorden ved å gjøre det vanskeligere for varme å slippe ut i verdensrommet. På samme måte som det å legge et teppe rundt kroppen din varmer deg opp og holder deg varm, eller veggene i et drivhus bidrar til å holde luften på innsiden varmere enn omgivelsene. Denne effekten kalles drivhuseffekten, og disse varmefangende gassene kalles drivhusgasser. Drivhuseffekten er en naturlig prosess som gjør jorden levelig for mennesker: uten den naturlige drivhuseffekten ville den globale gjennomsnittstemperaturen vært omtrent 33°C kaldere. Menneskelige aktiviteter siden 1800-tallet har imidlertid sluppet ut mer og mer klimagasser til atmosfæren, mest fra forbrenning av fossilt brensel (kull, olje og gass), men også fra jordbruk og hogst av skog. Dette har forsterket drivhuseffekten og forårsaket global oppvarming. Overskuddsenergien tas opp av forskjellige deler av jorden (Grafikk B): 91 prosent absorberes av havene, 5 prosent absorberes av landjorda, 3 prosent absorberes av isen. Bare 1 prosent av den ekstra varmen absorberes av atmosfæren. Denne oppvarmingen har forårsaket endringer i mange aspekter av klimaet. Klimaendringene og jordas energibalanse Siden 1970 har det vært en varig ubalanse i energiflyten, som har ført til at overskuddsenergi blir absorbert av forskjellige deler av klimasystemet. IsHavetLand 3%91%Utgående energi Overskuddsenergi hoper seg oppMindre utgående energi, på grunn av klimagasserInnkommende energi fra solaInnkommende energi fra solaStabilt klima: i balanse I dag: ute av balanse Atmosfære 1% 5%",1690,1678,0.9928994082840237
"Graphic B • The Earth’s energy budget compares the flows of incoming and outgoing energy that are relevant for the climate system. Since at least the 1970s, less energy is flowing out than is flowing in, which leads to excess energy being absorbed by the ocean, land, ice and atmosphere. Graphic adapted from IPCC AR6 Working Group I FAQ 7.1, Figure 1 in Chapter 7. https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-7/ • Climate Change 2021: Summary for All •7 / We are certain that humans are warming the climate All of the observed warming (1.1°C/2°F) we have seen since the pre-industrial era is a result of human activities. In fact, greenhouse gas emissions from human activities would have warmed the Earth even more, by about 1.5ºC (2.7°F) in total, but their warming effect has been partly counteracted by emissions of air pollutants called aerosols, which have an overall cooling effect. Carbon dioxide is the greenhouse gas that contributes the most to the warming, followed by methane and then nitrous oxide. How do we know global warming is not naturally caused? Natural causes of climate change that affect global temperature on short time scales (years to decades) haven’t significantly affected global temperatures since the pre-industrial era. A large volcanic eruption is an example of a natural variability, which can cool global temperatures for a few years but doesn’t alter temperatures on much longer time frames. Graphic C shows how greenhouse gases, air pollutants (aerosols) and natural causes have affected global temperatures since 1850. It is only when climate model simulations include human- caused greenhouse gases that they can recreate temperature observations. This is one of the ways we know that humans are responsible for warming the climate.","Grafikk B • Jordas energibudjsett sammenligner balansen mellom innkommende og utgående energi. Minst siden 1970-tallet har det den utgående energien vært mindre enn den inngående, som har ført til at overskuddsenergi absorberes av hav, land, is og i atmosfæren. Grafikken utarbeidet med utgangspunkt i Fig.1 IPCC WGI FAQ 7.1 i kapittel 7. https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-7/ • Klimaendringer 2021: Sammendrag for alle •7 / Vi er sikre på at mennesker er med å varme opp klimaet All den observerte oppvarmingen (1,1°C) vi har sett siden førindustriell tid er et resultat av menneskelige aktiviteter. Faktisk ville klimagassutslipp fra menneskelige aktiviteter alene ha varmet opp jorden enda mer, med omtrent 1,5°C totalt, men effekten har delvis blitt motvirket av utslipp av partikler, kalt aerosoler, som har en generell avkjølende effekt. Karbondioksid er den drivhusgassen som bidrar mest til oppvarmingen, etterfulgt av metan og deretter lystgass. Hvordan vet vi at global oppvarming ikke er naturlig? Naturlige årsaker til klimaendringer som påvirker den globale temperaturen på korte tidsskalaer (år til tiår) har ikke påvirket den globale temperaturen nevneverdig siden førindustriell tid. Et stort vulkanutbrudd er et eksempel på en naturlig variasjon, som kan avkjøle globale temperaturer i noen år, men som ikke endrer temperaturer på mye lengre tidsskalaer. Grafikk C viser hvordan klimagasser, partikkelutslipp (luftforurensning, kalt aerosoler) og naturlige årsaker har påvirket globale temperaturer siden 1850. Det er først når klimamodellsimuleringer inkluderer menneskeskapte utslipp at de kan gjenskape temperaturobservasjoner. Dette er en av grunnene til at vi vet at mennesker er ansvarlige for dagens globale oppvarming.",1780,1759,0.9882022471910112
"Graphic C • Humans are responsible for warming the climate. Climate model simulations (coloured shading) can only reproduce observed change in global temperature (black) when they include human-caused emissions. This graphic shows how global temperatures change when using climate model simulations that include: greenhouse gases only (red band); or aerosols (air pollutants) and other human drivers only (blue band); or natural causes only (green band); or when all causes are included (grey band). Combined = natural + aerosols + greenhouse gases . Solid/dashed coloured lines show the average of all models and shading shows the uncertainty ranges of the simulations. Graphic adapted from IPCC AR6 Working Group I FAQ 3.1, Figure 1 in Chapter 3. https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-3/ How do we know humans are causing climate change? Observed warming (1850-2019) is only reproduced in simulations including human influence. ObservationsGlobal surface temperature change since 1850 (°C)2.5 2.0 1.5 1.0 0.5 0 -0.5 -1.0 -1.5 1900 1950 2000 2020 1850Combined (Human & natural causes)Greenhouse gases (human) Aerosols (Human)Natural causes • Climate Change 2021: Summary for All •8 /Human-caused climate change is making extreme events more frequent and severe All the regions of the world must now deal with extreme events (such as heatwaves, droughts and heavy rainfalls) that are generally more severe and happening more often. Each region experiences different types of extreme events. Since the 1950s, all inhabited regions have seen more frequent and more intense heatwaves, and fewer and milder cold extremes. Many regions have seen heavier and more intense rainfall events (which can fuel floods). The soils of some regions have become much drier, leading to more severe droughts that negatively impact agriculture, people and nature. In the tropics, the strongest tropical cyclones – also called typhoons or hurricanes – have become more intense. Global warming has also caused some extremes to reach places where they were not previously common (for example, tropical cyclones and extreme heatwaves). Human-caused climate change has increased the chances of seeing multiple extreme weather events occurring at the same time or soon after each other; these are called compound events. Compound events can have even bigger impacts on nature and people than if they happened individually. For example, a drought along with extreme heat will increase the risk of wildfires, death of livestock, or crop failure. With a higher average sea level, a severe storm will increase the risk of simultaneous extreme sea level and heavy rainfall, and thus coastal flooding. How does climate change affect extreme weather events? Larger magnitude Increased frequency New locations Different timing New combinations (compound)","Grafikk C • Mennesker er ansvarlige for at klimaet blir varmere. De observerte temperaturendringene (svart) gjenskapes bare når menneskelig påvirkning legges til i klimamodellenes simuleringer (fargelagte områder). Denne grafikken viser hvordan global temperatur endrer seg når man bruker klimamodeller som inkluderer: kun klimagasser (rødt); eller aerosoler (luftforurensning) og andre mennskeskapte drivere (blått); eller kun naturlige årsaker (grønt); eller når alle årsakene er inkludert (grått). Kombinert= naturlig + aerosoler + klimagasseer . Strekene, prikkete og hele, viser gjennomsnittet for alle modellene, og fargebåndet viser usikkerhetsmarginen. Grafikken er basert på Fig. 3, fra IPCC AR6 WGI FAQ 3.1 i kapittel 3. https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-3/ Hvordan vet vi at mennesker forårsaker klimaendringer? Observert oppvarming (1850-2019) blir bare gjenskapt i simuleringer som inkluderer menneskenes påvirkning. ObservasjonerEndring i global overflatetemperatur siden 1850 (°C)2,5 2,0 1,5 1,0 0,5 0 -0,5 -1,0 -1,5 1900 1950 2000 2020 1850Kombinert (Menneskeskapte og naturlige kilder)Klimagasser (menneskeskapte) Aerosoler (menneskeskapte)Naturlige kilder • Klimaendringer 2021: Sammendrag for alle •8 /Menneskeskapte klimaendringer gjør ekstreme værhendelser hyppigere og mer alvorlige Alle regioner i verden må være forberedt på ekstreme værhendelser (som hetebølger, tørke og store nedbørsmengder) som kommer oftere og er mer alvorlige enn før. Hver region opplever forskjellige typer ekstreme hendelser. Siden 1950-tallet har alle bebodde regioner opplevd hyppigere og mer intense hetebølger, og mindre kulde. Mange regioner har sett hyppigere og mer intense nedbørshendelser (som kan gi næring til flom). Jordsmonnet i noen regioner har blitt mye tørrere, noe som har ført til mer alvorlig tørke som påvirker landbruk, mennesker og natur negativt. I tropene har de sterkeste tropiske syklonene – også kalt tyfoner eller orkaner – blitt mer intense. Global oppvarming har også ført til at noen værekstremer har nådd steder der de ikke tidligere var vanlige (for eksempel tropiske sykloner og ekstreme hetebølger). Menneskeskapte klimaendringer har økt sjansene for å oppleve flere ekstreme værhendelser samtidig eller kort tid etter hverandre; disse kalles sammenfallende ekstremværhendelser. Slike hendelser kan ha enda større innvirkning på natur og mennesker enn om de skjedde hver for seg. For eksempel vil tørke sammen med ekstrem varme øke risikoen for skogbranner, husdyrdød eller avlingssvikt. Med høyere gjennomsnittlig havnivå vil en kraftig storm øke faren for ekstremt havnivå og store nedbørsmengder på samme tid, og dermed kystflom. Hvordan påvirkes ekstremvær av klimaendringer? De blir kraftigere De opptrer hyppigere De kommer nye steder De kommer på nye tidspunkt Vi får nye kombinasjoner (sammenfallende)",2833,2862,1.010236498411578
"Graphic D • Human-caused climate change can affect extreme weather events in multiple ways. Graphic adapted from IPCC AR6 Working Group I FAQ 11.2, Figure 1 in Chapter 11. https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-11/","Grafikk D • Menneskeskapte klimaendringer kan påvirke ekstremvær på flere måter. Grafikken er basert på fig. 1, IPCC AR6 WGI FAQ 11.2 i kapittel 11. https://www.ipcc.ch/report/ar6/wg1/chapter/chapter-11/",226,203,0.8982300884955752
"• Climate Change 2021: Summary for All •9 /Our future climate In order to be prepared for the future, we need to understand how climate will continue to change. Our future is not set in stone: it will depend on many choices we make now and in the coming years. Global warming will continue until at least about 2050 before temperatures can stabilize Climate models show that, even if we strongly reduce greenhouse gas emissions starting now, warming won’t be halted until at least the 2050s. This is because the human activities that cause greenhouse gas emissions cannot stop immediately; it takes time to implement actions to reduce greenhouse gas emissions (even if done ambitiously). Strong reductions in greenhouse gases starting now would slow and reduce this amount of warming. After the 2050s, climate models show very different levels of warming, depending on the actions we take in the near future. For example, if we strongly and rapidly reduce carbon dioxide emissions starting now and throughout the 21st century, warming would be halted by around the middle of the century, reaching around 1.5°C (2.7°F) or 2°C (3.6°F) by the end of the century in these scenarios. On the other","• Klimaendringer 2021: Sammendrag for alle •9 /Vårt fremtidige Klima For å være forberedt på fremtiden, må vi forstå hvordan klimaet vil fortsette å endre seg. Vår fremtid er ikke hugget i stein: den vil avhenge av valg vi tar nå og i årene som kommer. Global oppvarming vil fortsette minst til år 2050 før temperaturene kan stabilisere seg Klimamodeller viser at selv om vi begynner å redusere klimagassutslippene kraftig allerede nå, vil ikke oppvarmingen stoppe før tidligst på 2050-tallet. Dette er fordi de menneskelige aktivitetene som forårsaker klimagassutslipp ikke kan stoppe umiddelbart; det tar tid å implementere tiltak for å redusere klimagassutslipp (selv om de er ambisiøse). Dersom det iverksettes store reduksjoner i klimagasser, vil det bremse og redusere denne typen oppvarming Etter 2050-tallet viser klimamodeller svært forskjellige nivåer av oppvarming, avhengig av hvilke tiltak vi gjør i nær fremtid. For eksempel, hvis vi reduserer karbondioksidutslipp kraftig fra nå og gjennom det 21. århundre, vil oppvarmingen stoppe rundt midten av århundret, og nå mellom 1,5°C og 2°C. På den annen side, hvis utslippene forblir de samme eller øker, vil temperaturene fortsette å stige. I",1191,1203,1.0100755667506298
